Epoch,Accuracy,Actualyt Accuracy,,Epoch,Loss,
1,93.3,93.3,,1,42.15839,0.04215839
2,92.34,92.34,,2,42.15849,0.04215849
3,8.42,91.58,,3,42.03111,0.04203111
4,9.46,90.54,,4,41.86812,0.04186812
5,10.33,89.67,,5,41.73215,0.04173215
6,10.34,89.66,,6,41.87307,0.04187307
7,10.13,89.87,,7,41.66342,0.04166342
8,10.91,89.09,,8,41.5814,0.0415814
9,10.67,89.33,,9,41.548,0.041548
10,11.33,88.67,,10,41.45602,0.04145602
11,11.05,88.95,,11,41.41578,0.04141578
12,10.99,89.01,,12,41.38361,0.04138361
13,11.18,88.82,,13,41.43508,0.04143508
14,11.11,88.89,,14,41.48872,0.04148872
15,10.96,89.04,,15,41.34201,0.04134201
16,11.14,88.86,,16,41.40934,0.04140934
17,11.08,88.92,,17,41.23076,0.04123076
18,11,89,,18,41.42579,0.04142579
19,11.09,88.91,,19,41.40121,0.04140121
20,11.1,88.9,,20,41.33655,0.04133655
21,11.1,88.9,,21,41.37157,0.04137157
22,11.08,88.92,,22,41.35757,0.04135757
23,11.03,88.97,,23,41.31094,0.04131094
24,11.09,88.91,,24,41.29764,0.04129764
25,11,89,,25,41.31098,0.04131098
26,11.07,88.93,,26,41.36106,0.04136106
27,10.96,89.04,,27,41.35302,0.04135302
28,11.09,88.91,,28,41.38719,0.04138719
29,11.08,88.92,,29,41.37007,0.04137007
30,11.01,88.99,,30,41.35822,0.04135822
31,11.12,88.88,,31,41.45702,0.04145702
32,11.03,88.97,,32,41.32322,0.04132322
33,11.04,88.96,,33,41.31348,0.04131348
34,11.01,88.99,,34,41.2862,0.0412862
35,11.03,88.97,,35,41.28143,0.04128143
36,11.1,88.9,,36,41.31781,0.04131781
37,11.12,88.88,,37,41.41846,0.04141846
38,11.1,88.9,,38,41.39696,0.04139696
39,11,89,,39,41.20957,0.04120957
40,11.03,88.97,,40,41.29743,0.04129743
41,11.03,88.97,,41,41.3266,0.0413266
42,11.03,88.97,,42,41.31453,0.04131453
43,11,89,,43,41.4118,0.0414118
44,11.02,88.98,,44,41.40453,0.04140453
45,10.95,89.05,,45,41.29497,0.04129497
46,11.05,88.95,,46,41.3559,0.0413559
47,11.09,88.91,,47,41.38403,0.04138403
48,11.09,88.91,,48,41.39287,0.04139287
49,11,89,,49,41.28277,0.04128277
50,11.01,88.99,,50,41.28854,0.04128854
51,11.03,88.97,,51,41.31957,0.04131957
